Indicator                                                         2021                           2020                          2019

Total Non-current Assets                                 3,687,975,436                  3,413,547,443                  3,734,836,692
Total Capital Assets                                       100,057,480                     96,943,295                    161,619,617
Minority Interest                                           25,809,696                           None                           None
Total Current Assets                                       621,712,648                    694,641,721                    272,727,615
Inventories                                                    279,655                           None                         89,312
Total Receivables                                          615,674,468                    501,155,765                     25,886,622
Cash                                                         5,758,525                    193,485,956                    180,280,493
Shortterm Financial Investments                                   None                           None                     66,471,188
Prepaid Expenses                                               765,483                        427,549                        200,921
Total Current Liabilities                                  170,550,436                     45,528,183                      8,988,768
Shortterm Financial Liabilities                            120,691,214                           None                           None
Trade Payables                                               4,034,357                      7,199,932                      4,886,047
Net Current Assets / Net Current Liabilities               451,872,935                    649,446,615                    263,414,763
Total Assets Less Current Liabilities                    4,139,894,266                  4,063,024,398                  3,998,251,455
Total Longterm Liabilities                                     118,456                        485,741                      1,012,867
Longterm Financial Liabilities                                    None                           None                           None
Deferred Income                                                384,578                        152,559                        554,548
Subscribed Capital                                       3,464,435,970                  3,464,435,970                  3,464,435,970
Total Shareholders' Equity                               4,123,508,400                  4,049,335,556                  3,988,135,916
Total Liabilities                                                 None                           None                           None
Sales                                                          285,696                      3,583,559                     19,177,662
Operating Income                                               829,082                     18,248,821                     23,146,357
Amortization                                                -1,530,549                     13,760,239                     26,038,557
Operating Expenses                                          56,469,302                    -16,871,706                     76,078,525
Operating Result                                           -55,640,220                     35,120,527                    -52,932,168
Income From Associated Entities                                   None                           None                           None
Interest Income                                             47,504,909                     44,852,139                     46,013,283
Total Financial Income                                     377,700,069                    260,327,165                    310,961,022
Interest Expenses                                              150,167                          1,983                           None
Total Financial Expenses                                       283,137                        145,770                        236,471
Financial Results                                          377,416,932                    260,181,395                    310,724,551
Total Revenues                                             378,529,151                    278,575,986                    334,107,379
Total Expenses                                              56,752,439                    -16,725,936                     76,314,996
Income before Tax                                          321,776,712                    295,301,922                    257,792,383
Net Income                                                 321,819,884                    298,378,536                    257,774,731
Employees                                                          104                            107                            117
